datetime	tstart	tfinish	type	group	site	treatment	block	temp.C	pres.kPA	PAR	NEE	Rsqd
12.08.2016 10:02	10	100	photo	inge	elev3850	tt2	6	22,76	62,83	1335,71	-12,3	0,99
12.08.2016 09:46	50	110	photo	inge	elev3850	tt2	7	21,7	62,81	1438,87	4,71	0,95
12.08.2016 09:58	10	100	resp	inge	elev3850	c	5	23,18	62,83	5,84	-6,15	0,98
12.08.2016 09:50	10	120	resp	inge	elev3850	tt2	7	23,08	62,81	7,97	-9,22	0,98
11.08.2016 14:37	10	70	photo	inge	elev3500	tt1	4	22,61	65,62	677,69	-11,52	0,99
11.08.2016 14:31	10	80	photo	inge	elev3500	tt1	7	22,61	65,65	891,29	-7,23	0,97
11.08.2016 14:53	30	90	photo	inge	elev3500	tt1	3	21,61	65,64	1008,66	-4,33	0,97
11.08.2016 16:05	40	100	photo	inge	elev3500	otc	3	19,07	65,66	483,36	0,46	0,24
11.08.2016 15:49	20	80	photo	inge	elev3500	tt2	3	19,11	65,66	674,03	-6,71	0,96
11.08.2016 12:49	20	80	photo	inge	elev3500	otc	2	28,61	65,97	2025,60	1,31	0,66
11.08.2016 13:03	70	130	photo	inge	elev3500	c	2	28,61	65,97	2338,89	1,54	0,69
11.08.2016 13:44	140	200	photo	inge	elev3500	tt2	6	32,11	65,71	1477,01	-0,87	0,55
13.08.2016 09:38	30	100	photo	inge	elev4100	otc	4	19,11	60,87	498,51	3,72	0,99
13.08.2016 11:52	50	110	photo	inge	elev4100	c	1	20,41	60,82	652,55	-2,24	0,86
12.08.2016 10:32	90	150	photo	inge	elev3850	tt0	5	20,94	62,79	1119,37	1,77	0,86
12.08.2016 10:19	80	140	photo	inge	elev3850	tt1	5	20,61	62,82	1055,30	2,45	0,9
12.08.2016 12:17	70	140	photo	inge	elev3850	otc	3	24,11	62,73	1019,62	3,91	0,95
12.08.2016 12:23	30	90	photo	inge	elev3850	otc	4	22,61	62,74	463,96	-1,84	0,89
12.08.2016 11:45	20	80	photo	inge	elev3850	tt0	2	25,61	62,77	1903,17	-19,31	0,92
12.08.2016 11:48	20	80	photo	inge	elev3850	tt0	2	26,11	62,78	1956,97	-42,71	0,97
12.08.2016 12:10	60	120	photo	inge	elev3850	tt1	3	26,61	62,77	1836,33	-9,88	0,9
12.08.2016 10:57	10	70	photo	inge	elev3850	tt0	1	17,61	62,74	615,92	1,83	0,83
12.08.2016 09:55	50	120	photo	inge	elev3850	c	5	23,23	62,83	838,52	0,06	0,01
10.08.2016 11:44	70	130	photo	inge	elev3000	tt1	7	24,61	69,02	1091,37	-1,86	0,8
10.08.2016 12:48	10	100	resp	inge	elev3000	tt3	5	28,58	69,04	11,51	-15,49	0,97
10.08.2016 16:01	120	190	resp	inge	elev3000	c	1	17,11	68,92	0,97	-5,55	0,87
11.08.2016 14:56	10	100	resp	inge	elev3500	tt1	3	21,61	65,64	2,69	-13,22	0,99
11.08.2016 16:23	10	110	resp	inge	elev3500	c	1	20,11	65,67	1,21	-12,42	0,99
11.08.2016 12:52	10	80	resp	inge	elev3500	otc	2	28,61	65,97	5,05	-6,09	0,96
11.08.2016 12:58	10	70	resp	inge	elev3500	tt0	2	28,61	65,97	10,60	-9,98	0,97
11.08.2016 13:26	10	70	resp	inge	elev3500	tt2	5	30,39	65,92	11,43	-11,72	0,99
11.08.2016 13:48	10	120	resp	inge	elev3500	tt2	6	31,33	65,71	6,50	-12,93	0,99
11.08.2016 14:24	50	140	resp	inge	elev3500	tt2	7	24,48	65,65	2,72	-7,3	0,97
13.08.2016 10:18	10	90	resp	inge	elev4100	tt0	4	19,11	60,87	5,38	-6,28	0,98
13.08.2016 12:15	10	120	resp	inge	elev4100	c	3	20,11	60,86	3,42	-6,04	0,96
13.08.2016 12:02	10	70	resp	inge	elev4100	tt0	2	20,61	60,85	6,11	-5,68	0,96
12.08.2016 08:57	10	120	resp	inge	elev3850	c	7	20,61	62,81	2,52	-4,55	0,98
12.08.2016 11:35	10	130	resp	inge	elev3850	tt1	2	23,04	62,81	4,97	-36,17	0,97
12.08.2016 11:41	10	140	resp	inge	elev3850	tt2	2	24,61	62,74	4,67	-28,39	0,99
12.08.2016 11:51	10	80	resp	inge	elev3850	tt0	2	26,02	62,79	6,99	-59,83	0,98
12.08.2016 11:06	10	140	resp	inge	elev3850	c	1	18,11	62,76	2,99	-8,68	0,98
12.08.2016 12:33	10	140	resp	inge	elev3850	tt0	3	19,06	62,75	2,96	-8,57	0,95
12.08.2016 13:02	10	70	resp	inge	elev3850	tt0	4	17,61	62,69	2,55	-25,12	0,98
12.08.2016 12:41	50	170	resp	inge	elev3850	tt1	4	16,66	62,77	2,86	-33,14	0,97
12.08.2016 12:55	10	140	resp	inge	elev3850	tt2	4	17,34	62,69	2,08	-14,82	0,98
12.08.2016 10:05	10	100	resp	inge	elev3850	tt2	6	22,96	62,82	6,16	-19,2	0,99
